Run,Step,Network Density,Average Clustering,Number of Active Edges,Successful Projects,Largest Connected Component Size,Resource Node Degree,Gini Coefficient
0,82,1.0,1.0,91,0,14,0,0.29073745124314576
0,83,1.0,1.0,91,0,14,0,0.29073745124314576
0,84,1.0,1.0,91,0,14,0,0.29073745124314576
0,85,1.0,1.0,91,0,14,0,0.29073745124314576
0,86,1.0,1.0,91,0,14,0,0.29073745124314576
0,87,1.0,1.0,91,0,14,0,0.29073745124314576
0,88,1.0,1.0,91,0,14,0,0.29073745124314576
0,89,1.0,1.0,91,0,14,0,0.29073745124314576
0,90,1.0,1.0,91,0,14,0,0.29073745124314576
0,91,1.0,1.0,91,0,14,0,0.29073745124314576
0,92,1.0,1.0,91,0,14,0,0.29073745124314576
0,93,1.0,1.0,91,0,14,0,0.29073745124314576
0,94,1.0,1.0,91,0,14,0,0.29073745124314576
0,95,1.0,1.0,91,0,14,0,0.29073745124314576
0,96,1.0,1.0,91,0,14,0,0.29073745124314576
0,97,1.0,1.0,91,0,14,0,0.29073745124314576
0,98,1.0,1.0,91,0,14,0,0.29073745124314576
0,99,1.0,1.0,91,0,14,0,0.29073745124314576
1,0,0.24761904761904763,0.8133333333333332,26,0,7,0,0.3033233352990469
1,1,0.24761904761904763,0.8133333333333332,26,0,7,0,0.3033233352990469
1,2,0.24761904761904763,0.8133333333333332,26,0,7,0,0.3033233352990469
1,3,0.24761904761904763,0.8133333333333332,26,0,7,0,0.3033233352990469
1,4,0.47619047619047616,0.9096296296296296,50,0,12,0,0.3033233352990469
1,5,0.47619047619047616,0.9096296296296296,50,0,12,0,0.3033233352990469
1,6,0.47619047619047616,0.9096296296296296,50,0,12,0,0.3033233352990469
1,7,0.47619047619047616,0.9096296296296296,50,0,12,0,0.3033233352990469
1,8,0.47619047619047616,0.9096296296296296,50,0,12,0,0.3033233352990469
1,9,0.47619047619047616,0.9096296296296296,50,0,12,0,0.3033233352990469
1,10,0.47619047619047616,0.9096296296296296,50,0,12,0,0.3033233352990469
1,11,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,12,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,13,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,14,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,15,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,16,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,17,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,18,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,19,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,20,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,21,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,22,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,23,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,24,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,25,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,26,0.7142857142857143,0.9313131313131312,75,0,15,0,0.3033233352990469
1,27,0.7333333333333333,0.9434343434343435,77,0,15,0,0.3033233352990469
1,28,0.7333333333333333,0.9434343434343435,77,0,15,0,0.3033233352990469
1,29,0.7333333333333333,0.9434343434343435,77,0,15,0,0.3033233352990469
1,30,0.7333333333333333,0.9434343434343435,77,0,15,0,0.3033233352990469
1,31,0.7333333333333333,0.9434343434343435,77,0,15,0,0.3033233352990469
1,32,0.7333333333333333,0.9434343434343435,77,0,15,0,0.3033233352990469
1,33,0.7333333333333333,0.9434343434343435,77,0,15,0,0.3033233352990469
1,34,0.7523809523809524,0.9609945609945609,79,0,15,0,0.3033233352990469
1,35,0.7619047619047619,0.9700854700854699,80,0,15,0,0.3033233352990469
1,36,0.7619047619047619,0.9700854700854699,80,0,15,0,0.3033233352990469
1,37,0.7619047619047619,0.9700854700854699,80,0,15,0,0.3033233352990469
1,38,0.8095238095238095,0.9293484293484295,85,0,15,0,0.3033233352990469
1,39,0.8095238095238095,0.9293484293484295,85,0,15,0,0.3033233352990469
1,40,0.8095238095238095,0.9293484293484295,85,0,15,0,0.3033233352990469
1,41,0.8095238095238095,0.9293484293484295,85,0,15,0,0.3033233352990469
1,42,0.8095238095238095,0.9293484293484295,85,0,15,0,0.3033233352990469
1,43,0.8095238095238095,0.9293484293484295,85,0,15,0,0.3033233352990469
1,44,0.8095238095238095,0.9293484293484295,85,0,15,0,0.3033233352990469
1,45,0.8571428571428571,0.9550249750249751,90,0,15,0,0.3033233352990469
1,46,0.8571428571428571,0.9550249750249751,90,0,15,0,0.3033233352990469
1,47,0.8571428571428571,0.9550249750249751,90,0,15,0,0.3033233352990469
1,48,0.8571428571428571,0.9550249750249751,90,0,15,0,0.3033233352990469
1,49,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,50,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,51,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,52,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,53,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,54,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,55,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,56,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,57,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,58,0.8461538461538461,0.9485070485070487,77,0,14,0,0.31172860686789
1,59,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,60,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,61,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,62,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,63,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,64,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,65,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,66,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,67,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,68,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,69,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,70,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,71,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,72,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,73,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,74,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,75,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,76,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,77,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,78,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,79,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,80,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,81,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,82,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,83,0.945054945054945,0.9553280053280054,86,0,14,0,0.31172860686789
1,84,0.9560439560439561,0.9627039627039627,87,0,14,0,0.31172860686789
1,85,0.9560439560439561,0.9627039627039627,87,0,14,0,0.31172860686789
1,86,0.9560439560439561,0.9627039627039627,87,0,14,0,0.31172860686789
1,87,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,88,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
1,89,0.967032967032967,0.9725274725274726,88,0,14,0,0.31172860686789
